ticker,published_utc,title,publisher,url
ENPH,2025-11-08T01:16:55+00:00,ENPH: Is Enphase Energy Undervalued After Recent Share Price Declines?,Yahoo,https://finnhub.io/api/news?id=2a3003451699727c11797d2618f170dbbb178d0b5322caba80721bf7462084c3
ENPH,2025-11-06T13:28:00+00:00,"SolarEdge Technologies Q3 Earnings Top Estimates, Revenues Rise Y/Y",Yahoo,https://finnhub.io/api/news?id=ddc59509adb3e1c37c73a6893d231d1ccc98efa14de2774bd6f8c429f8956a4e
ENPH,2025-11-06T13:00:00+00:00,Enphase Energy IQ8 Microinverters Power Solar Projects at Gas Stations Worldwide,Yahoo,https://finnhub.io/api/news?id=0ea7888c954743c5eb615d3042de70459594c7dd43cdc40ef385897420f16dda
ENPH,2025-11-05T23:08:04+00:00,SolarEdge: Mediocre Outlook Trumped By AI Data Center Enthusiasm - Hold,SeekingAlpha,https://finnhub.io/api/news?id=e003da94b75f6d95ad033db24b73353520f8dde870a6516761c809836c6001f9
ENPH,2025-11-05T17:26:34+00:00,Why Enphase (ENPH) Stock Is Up Today,Yahoo,https://finnhub.io/api/news?id=b708d745d42b7e5d6588fe778e6673788d96eb7ca29c4e5cf429362cb51d4b86
ENPH,2025-11-05T12:00:00+00:00,Enphase Batteries Qualify for San Diego Solar Incentive Program,Yahoo,https://finnhub.io/api/news?id=9fe2bf31d05d435a93b5ea6d5b3b26ce1dcb6f8c8e0f169d9b33607f9ac54c69
ENPH,2025-11-04T13:00:00+00:00,Enphase Energy Announces IQ Battery Systems Now Eligible for San Diego Community Power’s Solar Battery Savings Program,Yahoo,https://finnhub.io/api/news?id=5b954ad9c6db26100c3f2c7eb73bcd81d5ef2d217c08aae0b6a7d416e1e2d6b5
ENPH,2025-11-04T07:16:45+00:00,"Enphase Energy: Growth On The Horizon, But Not Today",SeekingAlpha,https://finnhub.io/api/news?id=78936526a8803cde56ff9653754c30e2427088785b84f48ad296fe40d8c8f498
ENPH,2025-11-04T05:38:03+00:00,5 Insightful Analyst Questions From Enphase’s Q3 Earnings Call,Yahoo,https://finnhub.io/api/news?id=f7d665f51168d08e1d1c5dcdb31f7443ae3909100a09ee0e8a6f08fef1460f3d
ENPH,2025-11-03T16:06:42+00:00,Why Enphase's Collapse Looks Overdone,SeekingAlpha,https://finnhub.io/api/news?id=2edfd063ed7e28491abf6a7f8a3a80eedb8b6908dd1144d425a64a08f677350d
ENPH,2025-11-03T14:12:01+00:00,Is Enphase Energy Worth a Closer Look After Its 65% Share Price Drop?,Yahoo,https://finnhub.io/api/news?id=89e6f72cbc2cecfb1eaced26801192a5a2c2b3859e70a963f2a037cb2f812e4c
ENPH,2025-11-02T22:05:00+00:00,Best And Worst Stocks And ETFs Through October,SeekingAlpha,https://finnhub.io/api/news?id=596767e13d34a784a158a95a4044312cbba2c5a6989cb2aea4741c3376130be3
ENPH,2025-10-31T14:18:00+00:00,GEV vs. ENPH: Which Clean-Energy Stock Has Brighter Growth Prospects?,Yahoo,https://finnhub.io/api/news?id=97a3f585fe2d5d427d98bf3b15c0e0f5e526c99c974a052d2b2ec88faa22a804
ENPH,2025-10-31T14:17:00+00:00,"First Solar Q3 Earnings Lag Estimates, Revenues Increase Y/Y",Yahoo,https://finnhub.io/api/news?id=61bc3199ab512519ff91c2b0e38459f58c85eb998583f1556f817586583a9c11
ENPH,2025-10-30T20:13:21+00:00,Why Clouds Are Hanging on Enphase Energy Stock This Week,Yahoo,https://finnhub.io/api/news?id=a7c6fc44fe9f54a5001bdf57be054efbe2ca12d6cfa6fb69050433f0c529256c
ENPH,2025-10-30T19:24:23+00:00,Enphase Energy Inc (ENPH) Q3 2025 Earnings Call Highlights: Record Revenue and Strategic ...,Yahoo,https://finnhub.io/api/news?id=b10ea340322f463ff5b2ba0c0e0d112712a230793d648659027b8442e6a17db1
ENPH,2025-10-30T15:31:11+00:00,Enphase (ENPH) Loses 15% on Lower-Than-Expected Revenue Growth Outlook,Yahoo,https://finnhub.io/api/news?id=ab56933753266931cc6ec22ca2623b0921504296462fb8fe78659b812a2faf6a
ENPH,2025-10-29T23:10:27+00:00,"Enphase Energy (ENPH): Margin Gains Outpace Market, Challenging Cautious Growth Narratives",Yahoo,https://finnhub.io/api/news?id=7548ceafec8a23957701d684a9abcd26979e2694645d194298a0ae8e414a4691
ENPH,2025-10-29T18:30:40+00:00,Enphase Sinks Double Digits After Q4 Earnings -- What Investors Need to Know,Yahoo,https://finnhub.io/api/news?id=25fc6401fc0043851af660e8a51059d71b93abb546f2eac07b35b3bca7b5cd9f
ENPH,2025-10-29T17:11:11+00:00,Why Enphase (ENPH) Stock Is Nosediving,Yahoo,https://finnhub.io/api/news?id=87fcfe8fbcfd9f84b2cd3dc5c8de9014daed8d224f79243e3f1c912e1317936f
ENPH,2025-10-29T14:46:50+00:00,Why Enphase Energy Stock Crashed Today,Yahoo,https://finnhub.io/api/news?id=0a25478c0afd66990525d37ef06e760286ea3816f1cac6fa938f0f926cfdec85
ENPH,2025-10-29T13:44:00+00:00,"Enphase Energy Q3 Earnings Beat Estimates, Revenues Rise Y/Y",Yahoo,https://finnhub.io/api/news?id=6a0b62706acf1ddef1d6949761b56e5a63159ca9aafdea0b864accba1ae0813c
ENPH,2025-10-29T12:41:13+00:00,"ENPH Q3 Deep Dive: Product Launches, Tariff Pressures, and Weak Forward Guidance Shape Outlook",Yahoo,https://finnhub.io/api/news?id=914f1a278cdd6742a2d3707fd6248bfd96d4ac4216caafda4c968c198d514b25
ENPH,2025-10-29T12:13:34+00:00,Record Q3 Results and Cautious Outlook Could Be a Game Changer for Enphase Energy (ENPH),Yahoo,https://finnhub.io/api/news?id=78424da931becd4a481124a0ce062dbe8f046ced872ab2ae0b1a14b89ba3bd78
ENPH,2025-10-29T12:11:32+00:00,"Earnings live: Boeing stock slips as cash burn improves, Caterpillar and Verizon rise, Enphase tumbles",Yahoo,https://finnhub.io/api/news?id=1e78ea517d47939e3b4476ae95897129eae24e54c773264a29d47b7d467a862e
ENPH,2025-10-29T05:16:16+00:00,Enphase Energy: Weak Outlook Likely To Keep Shares In The Penalty Box - Hold,SeekingAlpha,https://finnhub.io/api/news?id=2236ce720d2174171d3b8e5042a9902bbd939465572214c25bf9f904c03d85a9
ENPH,2025-10-29T02:51:51+00:00,"Enphase Energy, Inc. (ENPH) Q3 2025 Earnings Call Transcript",SeekingAlpha,https://finnhub.io/api/news?id=914ee4d3b67d2ee4fe776903e0d3cfb13ee7be3f518ea5a7d3a7e681d8d2c384
ENPH,2025-10-29T02:20:00+00:00,Enphase Q3 Revenue Hits Two-Year High,Yahoo,https://finnhub.io/api/news?id=49e2e9657b80163277d028370a292386b8375c5da24a2c70cba182a6f6e55ba2
ENPH,2025-10-29T00:53:51+00:00,Enphase Energy Down 8% After Earnings,Yahoo,https://finnhub.io/api/news?id=e2a3380a35c00b112e8506759184b967bed88006822ce4ad6f113549a0678976
ENPH,2025-10-28T22:31:05+00:00,Enphase (ENPH) Q3 2025 Earnings Call Transcript,Yahoo,https://finnhub.io/api/news?id=a91fa5ce10302446aeb961f118cab413f312f8cdb09e57a02afb3b433e26f31c
